Hospital_ID,Hospital_Name,Hospital_Location,Hospital_Type,Total_Bed_Capacity,Emergency_Room_Available,
HOSP-00034,New Miguelborough Medical Center,"Port Danielchester, Montana",Specialty,300 ,YES,
HOSP-00035,East Jasmineside Medical Center,"Susanmouth, North Carolina",Clinic,300 ,Yes,
HOSP-00036,Middleton General Hospital,"Jeremyfurt, New Jersey",Teaching,75 ,Yes,
HOSP-00037,Ross Memorial Hospital,"Charlesberg, Oregon",Specialty,50 ,Yes,
HOSP-00038,Johnfurt Community Clinic,"West Brooke, Oregon",Specialty,200 ,YES,
HOSP-00039,Collins Memorial Hospital,"Franklinberg, Missouri",General,500 ,YES,
HOSP-00040,Harrisonmouth Medical Center,"Lake Kelly, Wisconsin",Clinic,150 ,YES,
HOSP-00041,Sanchez Memorial Hospital,"Geoffreychester, Texas",Teaching,150 ,Yes,
HOSP-00042,Lauriehaven Community Clinic,"Mariestad, Wisconsin",General,150 ,No,
HOSP-00043,Boyer General Hospital,"Palmerstad, Alaska",General,500 ,No,
HOSP-00044,Port Matthewberg Community Clinic,"Burtonville, Tennessee",General,100 ,No,
HOSP-00045,Sampsonville Medical Center,"North Ginachester, California",Clinic,100 ,No,
HOSP-00046,Jonathanchester Community Clinic,"Lake Jeremyland, Nebraska",Specialty,300 ,No,
HOSP-00047,Jaredshire Community Clinic,"Martinhaven, Maryland",General,300 ,yes,
HOSP-00048,Franklinville Medical Center,"Ashleystad, Alabama",Specialty,100 ,yes,
HOSP-00049,Aaronborough Community Clinic,"North Jeremyton, Virginia",Teaching,300 ,yes,
HOSP-00050,Johnsonmouth Community Clinic,"Port Kayleeport, Nebraska",Clinic,250 ,No,
HOSP-00051,Port Aaron Community Clinic,"Port Davidborough, Louisiana",Teaching,75 ,No,
HOSP-00052,Ray Memorial Hospital,"Jonathanport, Ohio",General,150 ,No,
HOSP-00053,Lee General Hospital,"West Thomas, South Dakota",General,500 ,yes,
HOSP-00054,West Tammychester Community Clinic,"South Leslieport, Florida",Clinic,50 ,yes,
HOSP-00055,Claytonfort Medical Center,"North Michael, Utah",Specialty,150 ,Yes,
HOSP-00056,Hamilton Memorial Hospital,"Port Donna, Montana",Clinic,200 ,No,
HOSP-00057,Wells Memorial Hospital,"Port James, Rhode Island",Clinic,75 ,yes,
HOSP-00058,Franklin General Hospital,"Andreaborough, West Virginia",Teaching,100 ,Yes,
HOSP-00059,Dickerson General Hospital,"Onealhaven, Nevada",Specialty,100 ,Yes,
HOSP-00060,Lozano Memorial Hospital,"Riggsland, Wyoming",Specialty,75 ,yes,
HOSP-00061,Brown Memorial Hospital,"North Andrew, Arkansas",Clinic,200 ,yes,
HOSP-00062,Gonzalez General Hospital,"North Kevinbury, Minnesota",General,300 ,yes,
HOSP-00063,Gonzalezmouth Community Clinic,"South Travismouth, Minnesota",General,50 ,Yes,
HOSP-00064,Wellsmouth Medical Center,"East Brooke, North Carolina",General,200 ,Yes,
HOSP-00065,Richardson General Hospital,"Colonmouth, Kentucky",Specialty,250 ,YES,
HOSP-00066,Hartman General Hospital,"West David, Utah",Teaching,250 ,No,
HOSP-00067,Ericberg Medical Center,"South Heather, Alaska",Teaching,300 ,Yes,
HOSP-00068,Brady Memorial Hospital,"Vargaschester, Washington",Specialty,300 ,yes,
HOSP-00069,Woodward Memorial Hospital,"East Davidside, Montana",General,300 ,Yes,
HOSP-00070,Graham Memorial Hospital,"Lake Davidview, Iowa",Specialty,200 ,Yes,
HOSP-00071,Hughes Memorial Hospital,"East Michael, Hawaii",Teaching,250 ,No,
HOSP-00072,Nicholson General Hospital,"Mclaughlinland, Iowa",Specialty,150 ,No,
HOSP-00073,Foster General Hospital,"Justinberg, Kentucky",General,100 ,No,
HOSP-00074,Powell General Hospital,"Matthewport, Oregon",General,50 ,No,
HOSP-00075,Hanson Memorial Hospital,"Pooleport, Arizona",Specialty,50 ,YES,
HOSP-00076,South Matthewhaven Medical Center,"Amyfort, Oklahoma",Specialty,300 ,YES,
HOSP-00077,Russelltown Community Clinic,"East Katherineberg, Hawaii",Clinic,300 ,No,
HOSP-00078,Blackton Medical Center,"North Melanie, Wyoming",Clinic,50 ,No,
HOSP-00079,Kevinfurt Community Clinic,"Andersonstad, Idaho",Specialty,100 ,No,
HOSP-00080,Thornton General Hospital,"New Jacob, Wyoming",General,200 ,No,
HOSP-00081,Tylerhaven Community Clinic,"South Connor, Vermont",Teaching,200 ,yes,
HOSP-00082,Robertshire Medical Center,"Markton, Alaska",General,100 ,No,
HOSP-00083,Patterson General Hospital,"New Martinchester, California",Specialty,250 ,No,
HOSP-00084,Newton Memorial Hospital,"Port Cesar, Texas",General,50 ,No,
HOSP-00085,East Todd Community Clinic,"East Dawn, Tennessee",General,150 ,No,
HOSP-00086,Rachelhaven Medical Center,"Lake Nicholasstad, North Dakota",Teaching,250 ,No,
HOSP-00087,Watson Memorial Hospital,"Ericfurt, Tennessee",Specialty,150 ,yes,
HOSP-00088,Nunez Memorial Hospital,"West Joyceview, California",Teaching,500 ,No,
HOSP-00089,Patrickside Community Clinic,"South Dustinview, Vermont",Specialty,150 ,No,
HOSP-00090,Nicholsfort Community Clinic,"Blackfort, North Carolina",Clinic,500 ,Yes,
HOSP-00091,Davidson Memorial Hospital,"Freemanside, Ohio",Teaching,50 ,No,
HOSP-00092,Green General Hospital,"South Georgeberg, South Carolina",Specialty,250 ,No,
HOSP-00093,Alvarez Memorial Hospital,"New Jason, West Virginia",Clinic,75 ,Yes,
HOSP-00094,Lopezfurt Medical Center,"Gonzalezbury, Colorado",Specialty,50 ,YES,
HOSP-00095,Ramirezhaven Community Clinic,"West Tammy, Indiana",Clinic,75 ,Yes,
HOSP-00096,Lauraport Medical Center,"Fosterfort, California",Teaching,250 ,No,
HOSP-00097,Roach Memorial Hospital,"Lake Michaelside, Wyoming",Specialty,50 ,No,
HOSP-00098,Murphystad Medical Center,"Port Joseph, Ohio",Clinic,200 ,yes,
HOSP-00099,Kirk Memorial Hospital,"Port Scott, Massachusetts",Specialty,100 ,YES,
HOSP-00100,Rachelstad Medical Center,"New Phyllis, Ohio",General,500 ,YES,
