Hospital_ID,Hospital_Name,Hospital_Location,Hospital_Type,Total_Bed_Capacity,Emergency_Room_Available,Main_Contact_Number
HOSP-00026,Rose Memorial Hospital,"Taylormouth, Mississippi",General,150,YES,+1-268-298-3298x2229
HOSP-00027,Shelleyburgh Medical Center,"Lake Brian, Idaho",Teaching,50,Yes,+1-826-497-8043x85817
HOSP-00028,Mccullough General Hospital,"Katherineburgh, North Carolina",Teaching,75,No ,516.763.2337
HOSP-00029,Griffithmouth Medical Center,"Mcconnellside, Rhode Island",Clinic,75,No ,513.831.1592x1236
HOSP-00030,Johnson General Hospital,"Smithhaven, New Jersey",Specialty,250,No,257-721-2835x769
HOSP-00031,Fischer General Hospital,"New Bobbyhaven, New Hampshire",Specialty,500,No,001-416-797-9780
HOSP-00032,South Christopherside Medical Center,"Lake Tamaramouth, Virginia",Teaching,100,No ,(747)835-7363
HOSP-00033,Lopez Memorial Hospital,"Morenofort, Indiana",General,300,No,(708)472-4385x4690
HOSP-00034,New Miguelborough Medical Center,"Port Danielchester, Montana",Specialty,300,YES,3336042845
HOSP-00035,East Jasmineside Medical Center,"Susanmouth, North Carolina",Clinic,300,Yes,+1-203-970-4121x4304
HOSP-00036,Middleton General Hospital,"Jeremyfurt, New Jersey",Teaching,75,Yes,430-406-6817
HOSP-00037,Ross Memorial Hospital,"Charlesberg, Oregon",Specialty,50,Yes,837.725.2781x20617
HOSP-00038,Johnfurt Community Clinic,"West Brooke, Oregon",Specialty,200,YES,+1-492-948-0052x79137
HOSP-00039,Collins Memorial Hospital,"Franklinberg, Missouri",General,500,YES,+1-907-691-1357x1647
HOSP-00040,Harrisonmouth Medical Center,"Lake Kelly, Wisconsin",Clinic,150,YES,(635)821-3629x5863
HOSP-00041,Sanchez Memorial Hospital,"Geoffreychester, Texas",Teaching,150,Yes,001-727-667-0940
HOSP-00042,Lauriehaven Community Clinic,"Mariestad, Wisconsin",General,150,No,(883)706-8669x5389
HOSP-00043,Boyer General Hospital,"Palmerstad, Alaska",General,500,No,+1-711-313-6179
HOSP-00044,Port Matthewberg Community Clinic,"Burtonville, Tennessee",General,100,No ,738-575-9211
HOSP-00045,Sampsonville Medical Center,"North Ginachester, California",Clinic,100,No,670.577.5106x261
HOSP-00046,Jonathanchester Community Clinic,"Lake Jeremyland, Nebraska",Specialty,300,No ,+1-419-894-5699x4398
HOSP-00047,Jaredshire Community Clinic,"Martinhaven, Maryland",General,300,yes,741-893-0399x551
HOSP-00048,Franklinville Medical Center,"Ashleystad, Alabama",Specialty,100,yes,001-256-354-7056x70904
HOSP-00049,Aaronborough Community Clinic,"North Jeremyton, Virginia",Teaching,300,yes,(398)871-9889x042
HOSP-00050,Johnsonmouth Community Clinic,"Port Kayleeport, Nebraska",Clinic,250,No ,(887)230-6424x829
HOSP-00051,Port Aaron Community Clinic,"Port Davidborough, Louisiana",Teaching,75,No ,001-878-392-3524x0137
HOSP-00052,Ray Memorial Hospital,"Jonathanport, Ohio",General,150,No,+1-418-413-7852
HOSP-00053,Lee General Hospital,"West Thomas, South Dakota",General,500,yes,+1-629-448-0853x470
HOSP-00054,West Tammychester Community Clinic,"South Leslieport, Florida",Clinic,50,yes,001-501-246-1338x005
HOSP-00055,Claytonfort Medical Center,"North Michael, Utah",Specialty,150,Yes,001-677-760-5538
HOSP-00056,Hamilton Memorial Hospital,"Port Donna, Montana",Clinic,200,No ,651-541-3633
HOSP-00057,Wells Memorial Hospital,"Port James, Rhode Island",Clinic,75,yes,724-564-6686x3166
HOSP-00058,Franklin General Hospital,"Andreaborough, West Virginia",Teaching,100,Yes,221-672-3349x677
HOSP-00059,Dickerson General Hospital,"Onealhaven, Nevada",Specialty,100,Yes,001-756-511-4108x2359
HOSP-00060,Lozano Memorial Hospital,"Riggsland, Wyoming",Specialty,75,yes,+1-724-846-0261
HOSP-00061,Brown Memorial Hospital,"North Andrew, Arkansas",Clinic,200,yes,001-909-217-0392x73305
HOSP-00062,Gonzalez General Hospital,"North Kevinbury, Minnesota",General,300,yes,210-620-3830
HOSP-00063,Gonzalezmouth Community Clinic,"South Travismouth, Minnesota",General,50,Yes,(393)401-2670
HOSP-00064,Wellsmouth Medical Center,"East Brooke, North Carolina",General,200,Yes,833-370-2718
HOSP-00065,Richardson General Hospital,"Colonmouth, Kentucky",Specialty,250,YES,+1-950-866-3516
HOSP-00066,Hartman General Hospital,"West David, Utah",Teaching,250,No ,+1-226-443-6628x29092
HOSP-00067,Ericberg Medical Center,"South Heather, Alaska",Teaching,300,Yes,+1-395-706-0188x98704
HOSP-00068,Brady Memorial Hospital,"Vargaschester, Washington",Specialty,300,yes,378.827.6082
HOSP-00069,Woodward Memorial Hospital,"East Davidside, Montana",General,300,Yes,001-296-395-3432x74655
HOSP-00070,Graham Memorial Hospital,"Lake Davidview, Iowa",Specialty,200,Yes,851.265.8509
HOSP-00071,Hughes Memorial Hospital,"East Michael, Hawaii",Teaching,250,No ,452-605-1148
HOSP-00072,Nicholson General Hospital,"Mclaughlinland, Iowa",Specialty,150,No ,(921)922-2386x378
HOSP-00073,Foster General Hospital,"Justinberg, Kentucky",General,100,No ,(676)941-2974
HOSP-00074,Powell General Hospital,"Matthewport, Oregon",General,50,No,(957)409-6056x4333
HOSP-00075,Hanson Memorial Hospital,"Pooleport, Arizona",Specialty,50,YES,872.805.6832
HOSP-00076,South Matthewhaven Medical Center,"Amyfort, Oklahoma",Specialty,300,YES,720.539.6220x98769
HOSP-00077,Russelltown Community Clinic,"East Katherineberg, Hawaii",Clinic,300,No,6706169298
HOSP-00078,Blackton Medical Center,"North Melanie, Wyoming",Clinic,50,No ,946.464.3231x677
HOSP-00079,Kevinfurt Community Clinic,"Andersonstad, Idaho",Specialty,100,No,489-890-3321
HOSP-00080,Thornton General Hospital,"New Jacob, Wyoming",General,200,No ,729-447-1502
HOSP-00081,Tylerhaven Community Clinic,"South Connor, Vermont",Teaching,200,yes,(634)752-6064x5011
HOSP-00082,Robertshire Medical Center,"Markton, Alaska",General,100,No ,348.751.4810x133
HOSP-00083,Patterson General Hospital,"New Martinchester, California",Specialty,250,No ,8103195444
HOSP-00084,Newton Memorial Hospital,"Port Cesar, Texas",General,50,No,(254)690-9218
HOSP-00085,East Todd Community Clinic,"East Dawn, Tennessee",General,150,No ,001-479-651-6854
HOSP-00086,Rachelhaven Medical Center,"Lake Nicholasstad, North Dakota",Teaching,250,No,(562)652-8456x186
HOSP-00087,Watson Memorial Hospital,"Ericfurt, Tennessee",Specialty,150,yes,+1-281-943-3179x143
HOSP-00088,Nunez Memorial Hospital,"West Joyceview, California",Teaching,500,No ,761.634.0695x63143
HOSP-00089,Patrickside Community Clinic,"South Dustinview, Vermont",Specialty,150,No,(764)212-2028x4852
HOSP-00090,Nicholsfort Community Clinic,"Blackfort, North Carolina",Clinic,500,Yes,999-796-1797x855
HOSP-00091,Davidson Memorial Hospital,"Freemanside, Ohio",Teaching,50,No,001-978-953-1624x4871
HOSP-00092,Green General Hospital,"South Georgeberg, South Carolina",Specialty,250,No ,9359750580
HOSP-00093,Alvarez Memorial Hospital,"New Jason, West Virginia",Clinic,75,Yes,732.571.7451x43511
HOSP-00094,Lopezfurt Medical Center,"Gonzalezbury, Colorado",Specialty,50,YES,(445)928-7713
HOSP-00095,Ramirezhaven Community Clinic,"West Tammy, Indiana",Clinic,75,Yes,343-635-9183
HOSP-00096,Lauraport Medical Center,"Fosterfort, California",Teaching,250,No ,(352)804-2651
HOSP-00097,Roach Memorial Hospital,"Lake Michaelside, Wyoming",Specialty,50,No ,(259)946-0551x8300
HOSP-00098,Murphystad Medical Center,"Port Joseph, Ohio",Clinic,200,yes,530.522.6549x08982
HOSP-00099,Kirk Memorial Hospital,"Port Scott, Massachusetts",Specialty,100,YES,654.783.4474
HOSP-00100,Rachelstad Medical Center,"New Phyllis, Ohio",General,500,YES,570-236-1387
